Year,Month,Day,Time,Timezone,Temperature,UVB
2019,4,10,12:00,UTC,0.1,1.2
2019,4,11,12:00,UTC,2.7,1.2
2019,4,12,12:00,UTC,5.6,2
2019,4,13,12:00,UTC,5.7,1
2019,4,14,12:00,UTC,7.4,1.2
2019,4,15,12:00,UTC,9.6,2.2
2019,4,16,12:00,UTC,11.7,2.7
2019,4,17,12:00,UTC,12.3,3.1
2019,4,18,12:00,UTC,13.2,2.6
2019,4,19,12:00,UTC,16.4,2.2
2019,4,20,12:00,UTC,11.9,1.1
2019,4,21,12:00,UTC,8.5,3
2019,4,22,12:00,UTC,15.3,2.7
2019,4,23,12:00,UTC,18,2.9
2019,4,24,12:00,UTC,16.9,2.6
2019,4,25,12:00,UTC,17.4,1.5
2019,4,26,12:00,UTC,12.1,0.4
2019,4,27,12:00,UTC,19.5,2.7
2019,4,28,12:00,UTC,8.5,2.8
2019,4,29,12:00,UTC,9.4,2.4
2019,4,30,12:00,UTC,10,2
2019,5,1,12:00,UTC,14.3,2.7
2019,5,2,12:00,UTC,5.2,1.2
2019,5,3,12:00,UTC,4.3,1.9
2019,5,4,12:00,UTC,1.8,0.8
2019,5,5,12:00,UTC,8.6,2.3
2019,5,6,12:00,UTC,9.9,2.4
2019,5,7,12:00,UTC,9.7,2.5
2019,5,8,12:00,UTC,10.4,2.5
2019,5,9,12:00,UTC,12.2,2.1
2019,5,10,12:00,UTC,8.5,0.8
2019,5,11,12:00,UTC,12,0.6
2019,5,12,12:00,UTC,12.9,3
2019,5,13,12:00,UTC,12.5,1.7
2019,5,14,12:00,UTC,13.6,2.9
2019,5,15,12:00,UTC,14.4,3.3
2019,5,16,12:00,UTC,17,3.5
2019,5,17,12:00,UTC,18.5,3.6
2019,5,18,12:00,UTC,20.1,3.5
2019,5,19,12:00,UTC,21.5,3.4
2019,5,20,12:00,UTC,20.8,3.3
2019,5,21,12:00,UTC,24.3,2.4
2019,5,22,12:00,UTC,21,3.4
2019,5,23,12:00,UTC,12.9,3.9
2019,5,24,12:00,UTC,9.7,1.1
2019,5,25,12:00,UTC,14.2,3.3
2019,5,26,12:00,UTC,9.5,0.3
2019,5,27,12:00,UTC,13,3.5
2019,5,28,12:00,UTC,16.1,3.4
2019,5,29,12:00,UTC,15.3,4.3
2019,5,30,12:00,UTC,16.4,4
2019,5,31,12:00,UTC,15.7,3.8
2019,6,1,12:00,UTC,16.2,2.6
2019,6,2,12:00,UTC,15.2,4
2019,6,3,12:00,UTC,16.5,3.7
2019,6,4,12:00,UTC,21.9,4.2
2019,6,5,12:00,UTC,23.7,4
2019,6,6,12:00,UTC,26.6,4.3
2019,6,7,12:00,UTC,26,4.3
2019,6,8,12:00,UTC,25.8,4.3
2019,6,9,12:00,UTC,21.6,4.2
2019,6,10,12:00,UTC,19,4.4
2019,6,11,12:00,UTC,20.7,4.1
2019,6,12,12:00,UTC,16.8,4.9
2019,6,13,12:00,UTC,13.4,0.5
2019,6,14,12:00,UTC,13.7,1.7
2019,6,15,12:00,UTC,20.4,4.4
2019,6,16,12:00,UTC,22.2,5
2019,6,17,12:00,UTC,23.7,4.5
2019,6,18,12:00,UTC,21.8,5
2019,6,19,12:00,UTC,22.2,4.6
2019,6,20,12:00,UTC,24.4,4.6
2019,6,21,12:00,UTC,25.3,4.9
2019,6,22,12:00,UTC,18.6,2.5
2019,6,23,12:00,UTC,22.1,4.4
2019,6,24,12:00,UTC,23.8,3.8
2019,6,25,12:00,UTC,20.8,4.6
2019,6,26,12:00,UTC,18.2,3.6
2019,6,27,12:00,UTC,18.5,3.6
2019,6,28,12:00,UTC,20.5,4.2
2019,6,29,12:00,UTC,20.3,4.7
2019,6,30,12:00,UTC,19.8,2.1
2019,7,1,12:00,UTC,20.1,2.1
2019,7,2,12:00,UTC,15.7,1.4
2019,7,3,12:00,UTC,20.1,4.7
2019,7,4,12:00,UTC,18.2,4.5
2019,7,5,12:00,UTC,15.7,4.1
2019,7,6,12:00,UTC,13.3,0.6
2019,7,7,12:00,UTC,17.5,2.8
2019,7,8,12:00,UTC,18.2,2.1
2019,7,9,12:00,UTC,13.8,1.3
2019,7,10,12:00,UTC,21.2,4.4
2019,7,11,12:00,UTC,13.4,1.9
2019,7,12,12:00,UTC,20,3.9
2019,7,13,12:00,UTC,19.6,1.6
2019,7,14,12:00,UTC,17.4,2.6
2019,7,15,12:00,UTC,17,2
2019,7,16,12:00,UTC,18.8,1.9
2019,7,17,12:00,UTC,22.1,4.1
2019,7,18,12:00,UTC,23.8,4.2
2019,7,19,12:00,UTC,24.3,3.2
2019,7,20,12:00,UTC,24.1,4.1
2019,7,21,12:00,UTC,26,4.1
2019,7,22,12:00,UTC,21.7,1.5
2019,7,23,12:00,UTC,24.7,3.8
2019,7,24,12:00,UTC,27.9,3.7
2019,7,25,12:00,UTC,23.7,4.5
2019,7,26,12:00,UTC,25.1,4.5
2019,7,27,12:00,UTC,29.9,4.8
2019,7,28,12:00,UTC,32.2,4.5
2019,7,29,12:00,UTC,19.9,4.7
2019,7,30,12:00,UTC,16.2,2.2
2019,7,31,12:00,UTC,20.6,4.1
2019,8,1,12:00,UTC,18.4,3.8
2019,8,2,12:00,UTC,19.7,4.1
2019,8,3,12:00,UTC,16.8,3.6
2019,8,4,12:00,UTC,17,3.2
2019,8,5,12:00,UTC,21,2.3
2019,8,6,12:00,UTC,18.9,2
2019,8,7,12:00,UTC,19.2,3.6
2019,8,8,12:00,UTC,19.9,2.7
2019,8,9,12:00,UTC,21.6,2.4
2019,8,10,12:00,UTC,22.3,3.6
2019,8,11,12:00,UTC,16.2,0.3
2019,8,12,12:00,UTC,20.7,2.1
2019,8,13,12:00,UTC,20.6,3.1
2019,8,14,12:00,UTC,19.3,2.3
2019,8,15,12:00,UTC,20.4,3.1
2019,8,16,12:00,UTC,20.6,3.3
2019,8,17,12:00,UTC,21.9,3.2
2019,8,18,12:00,UTC,21.6,3
2019,8,19,12:00,UTC,19.4,1.6
2019,8,20,12:00,UTC,20.9,3
2019,8,21,12:00,UTC,19.3,2.4
2019,8,22,12:00,UTC,20.8,2.9
2019,8,23,12:00,UTC,20,2.9
2019,8,24,12:00,UTC,21.2,2.4
2019,8,25,12:00,UTC,20.7,3.1
2019,8,26,12:00,UTC,22.6,2.6
2019,8,27,12:00,UTC,21.9,2.8
2019,8,28,12:00,UTC,24.3,2.9
2019,8,29,12:00,UTC,22.4,2.7
2019,8,30,12:00,UTC,21.6,1.9
2019,8,31,12:00,UTC,20.8,3.1
2019,9,1,12:00,UTC,21.3,3
2019,9,2,12:00,UTC,22.6,2.3
2019,9,3,12:00,UTC,19,2.7
2019,9,4,12:00,UTC,18.7,2.9
2019,9,5,12:00,UTC,19.5,1.2
2019,9,6,12:00,UTC,15.2,1.6
2019,9,7,12:00,UTC,17.7,1.7
2019,9,8,12:00,UTC,16.1,0.6
2019,9,9,12:00,UTC,18.4,0.8
2019,9,10,12:00,UTC,20.9,1.8
2019,9,11,12:00,UTC,16.1,1.4
2019,9,12,12:00,UTC,16.2,1
2019,9,13,12:00,UTC,12,0.8
2019,9,14,12:00,UTC,11.4,0.9
2019,9,15,12:00,UTC,12.9,0.4
2019,9,16,12:00,UTC,12.4,0.7
2019,9,17,12:00,UTC,11.3,0.9
2019,9,18,12:00,UTC,11,1.5
2019,9,19,12:00,UTC,12.4,1.1
2019,9,20,12:00,UTC,11.8,1.5
2019,9,21,12:00,UTC,9.9,0.6
2019,9,22,12:00,UTC,9.7,1
2019,9,23,12:00,UTC,11.1,1.3
2019,9,24,12:00,UTC,9,0.4
2019,9,25,12:00,UTC,8.1,0.4
2019,9,26,12:00,UTC,12.9,1.3
2019,9,27,12:00,UTC,13.2,0.8
2019,9,28,12:00,UTC,13.2,1.3
2019,9,29,12:00,UTC,13.9,0.8
2019,9,30,12:00,UTC,14.1,0.8
2019,10,1,12:00,UTC,5.5,0.3
2019,10,2,12:00,UTC,7.8,0.3
2019,10,3,12:00,UTC,5.6,0.4
2019,10,4,12:00,UTC,3.7,0.8
2019,10,5,12:00,UTC,5.2,0.7
2019,10,6,12:00,UTC,5.6,0.5
2019,10,7,12:00,UTC,6.9,0.5
2019,10,8,12:00,UTC,7,0.5
2019,10,9,12:00,UTC,7.5,0.5
2019,10,10,12:00,UTC,9.5,0.3
2019,10,11,12:00,UTC,12,0.6
2019,10,12,12:00,UTC,10.6,0.4
2019,10,13,12:00,UTC,11.5,0.6
2019,10,14,12:00,UTC,6,0.3
2019,10,15,12:00,UTC,6.8,0.4
2019,10,16,12:00,UTC,7.6,0.1
2019,10,17,12:00,UTC,4.9,0.1
2019,10,18,12:00,UTC,9.2,0.2
2019,10,19,12:00,UTC,12.1,0.5
2019,10,20,12:00,UTC,10.3,0.2
2019,10,21,12:00,UTC,6.6,0.2
2019,10,22,12:00,UTC,10.9,0.2
2019,10,23,12:00,UTC,11.9,0.6
2019,10,24,12:00,UTC,11.8,0.3
2019,10,25,12:00,UTC,10.9,0.1
2019,10,26,12:00,UTC,7.3,0.1
2019,10,27,12:00,UTC,2.5,0.1
2019,10,28,12:00,UTC,2.3,0.2
2019,10,29,12:00,UTC,1.1,0.3
2019,10,30,12:00,UTC,1.4,0.3
2019,10,31,12:00,UTC,5.1,0.3
2019,11,1,12:00,UTC,4.2,0.3
2019,11,2,12:00,UTC,5.8,0.2
2019,11,3,12:00,UTC,2.8,0.1
2019,11,4,12:00,UTC,0.1,0.2
2019,11,5,12:00,UTC,-0.4,0.1
2019,11,6,12:00,UTC,-0.9,0.2
2019,11,7,12:00,UTC,-1.4,0.1
2019,11,8,12:00,UTC,1,0.1
2019,11,9,12:00,UTC,6.5,0.1
2019,11,10,12:00,UTC,8.7,0.1
2019,11,11,12:00,UTC,0.2,0.1
2019,11,12,12:00,UTC,5.6,0.1
2019,11,13,12:00,UTC,6.5,0
2019,11,14,12:00,UTC,9.6,0.1
2019,11,15,12:00,UTC,3.7,0.2
2019,11,16,12:00,UTC,1,0.1
2019,11,17,12:00,UTC,8.3,0.1
2019,11,18,12:00,UTC,5.8,0.1
2019,11,19,12:00,UTC,6.5,0.1
2019,11,20,12:00,UTC,6.7,0.1
2019,11,21,12:00,UTC,4.3,0.1
2019,11,22,12:00,UTC,1.1,0.1
2019,11,23,12:00,UTC,1,0.1
2019,11,24,12:00,UTC,-0.1,0.1
2019,11,25,12:00,UTC,0.7,0.1
2019,11,26,12:00,UTC,1.3,0
2019,11,27,12:00,UTC,2,0.1
2019,11,28,12:00,UTC,2.8,0.1
2019,11,29,12:00,UTC,4.8,0
2019,11,30,12:00,UTC,-2.3,0.1
2019,12,1,12:00,UTC,-0.3,0.1
2019,12,2,12:00,UTC,-0.7,0.1
2019,12,3,12:00,UTC,-0.7,0.1
2019,12,4,12:00,UTC,5.4,0.1
2019,12,5,12:00,UTC,6.5,0
2019,12,6,12:00,UTC,5,0.1
2019,12,7,12:00,UTC,5.8,0.1
2019,12,8,12:00,UTC,2.1,0.1
2019,12,9,12:00,UTC,5.4,0.1
2019,12,10,12:00,UTC,-2.5,0.1
2019,12,11,12:00,UTC,2.1,0.1
2019,12,12,12:00,UTC,1.6,0.1
2019,12,13,12:00,UTC,3,0.1
2019,12,14,12:00,UTC,2.4,0
2019,12,15,12:00,UTC,2.1,0.1
2019,12,16,12:00,UTC,3.1,0.1
2019,12,17,12:00,UTC,3.9,0.1
2019,12,18,12:00,UTC,6.3,0
2019,12,19,12:00,UTC,1.8,0.1
2019,12,20,12:00,UTC,3.3,0.1
2019,12,21,12:00,UTC,2.4,0
2019,12,22,12:00,UTC,5.1,0
2019,12,23,12:00,UTC,5,0.1
2019,12,24,12:00,UTC,3.2,0.1
2019,12,25,12:00,UTC,1,0.1
2019,12,26,12:00,UTC,0.2,0.1
2019,12,27,12:00,UTC,-4.2,0.1
2019,12,28,12:00,UTC,-4.5,0.1
2019,12,29,12:00,UTC,2.7,0.1
2019,12,30,12:00,UTC,5.9,0
2019,12,31,12:00,UTC,0.7,0.1
